timestamp,seconds_since_start,latitude,longitude,altitude
2025-03-12 21:39:28.552,16.572573,43.0297949,-81.2928845,276.89
2025-03-12 21:39:28.783,16.803687,43.029795,-81.29288439999999,276.87
2025-03-12 21:39:29.023,17.043726,43.0297951,-81.2928845,276.87
2025-03-12 21:39:29.263,17.283754,43.0297951,-81.2928847,276.86
2025-03-12 21:39:29.503,17.523627,43.029795299999996,-81.2928846,276.86
2025-03-12 21:39:29.742,17.763513,43.029795299999996,-81.2928847,276.84
2025-03-12 21:39:29.983,18.003709,43.0297954,-81.29288489999999,276.83
2025-03-12 21:39:30.223,18.243632,43.0297955,-81.29288509999999,276.83
2025-03-12 21:39:30.463,18.483661,43.0297954,-81.2928853,276.82
2025-03-12 21:39:30.702,18.723508,43.0297951,-81.29288559999999,276.81
2025-03-12 21:39:30.943,18.963567,43.0297948,-81.2928859,276.79
2025-03-12 21:39:31.191,19.212444,43.029794599999995,-81.29288609999999,276.78
2025-03-12 21:39:31.423,19.443685,43.029794599999995,-81.2928862,276.77
2025-03-12 21:39:31.663,19.683568,43.029794599999995,-81.29288629999999,276.76
2025-03-12 21:39:31.903,19.923626,43.0297945,-81.2928866,276.75
2025-03-12 21:39:32.142,20.163494,43.0297944,-81.2928867,276.74
2025-03-12 21:39:32.383,20.403862,43.0297944,-81.292887,276.73
2025-03-12 21:39:32.622,20.64348,43.0297944,-81.2928872,276.72
2025-03-12 21:39:32.862,20.883509,43.0297944,-81.29288749999999,276.71
2025-03-12 21:39:33.103,21.124124,43.0297945,-81.2928879,276.71
2025-03-12 21:39:33.342,21.363278,43.0297945,-81.2928883,276.71
2025-03-12 21:39:33.582,21.603319,43.0297945,-81.2928886,276.7
2025-03-12 21:39:33.831,21.852181,43.0297945,-81.2928889,276.7
2025-03-12 21:39:34.062,22.083306,43.0297945,-81.29288919999999,276.7
2025-03-12 21:39:34.302,22.323212,43.0297944,-81.29288939999999,276.69
2025-03-12 21:39:34.542,22.563291,43.0297944,-81.29288969999999,276.69
2025-03-12 21:39:34.782,22.803337,43.0297944,-81.2928901,276.69
2025-03-12 21:39:35.022,23.043123,43.0297944,-81.2928905,276.69
2025-03-12 21:39:35.262,23.283138,43.0297945,-81.2928908,276.68
2025-03-12 21:39:35.503,23.523911,43.0297944,-81.2928913,276.67
2025-03-12 21:39:35.742,23.762997,43.0297942,-81.29289159999999,276.67
2025-03-12 21:39:35.982,24.003053,43.029793999999995,-81.292892,276.66
2025-03-12 21:39:36.223,24.244353,43.0297936,-81.29289229999999,276.64
2025-03-12 21:39:36.471,24.491772,43.0297932,-81.2928925,276.63
2025-03-12 21:39:36.702,24.722931,43.0297929,-81.29289279999999,276.6
2025-03-12 21:39:36.942,24.963362,43.0297927,-81.2928932,276.59
2025-03-12 21:39:37.182,25.202989,43.0297926,-81.29289349999999,276.58
2025-03-12 21:39:37.422,25.443247,43.0297926,-81.2928938,276.57
2025-03-12 21:39:37.662,25.683136,43.0297926,-81.2928941,276.56
2025-03-12 21:39:37.902,25.922992,43.0297927,-81.2928944,276.54
2025-03-12 21:39:38.142,26.163038,43.0297927,-81.2928946,276.53
2025-03-12 21:39:38.383,26.404047,43.0297927,-81.29289469999999,276.51
2025-03-12 21:39:38.622,26.642818,43.0297926,-81.2928948,276.5
2025-03-12 21:39:38.862,26.882854,43.0297927,-81.2928948,276.49
2025-03-12 21:39:39.110,27.131556,43.029792799999996,-81.2928951,276.49
2025-03-12 21:39:39.342,27.362818,43.029793,-81.2928953,276.49
2025-03-12 21:39:39.582,27.602878,43.0297931,-81.29289539999999,276.49
2025-03-12 21:39:39.822,27.842754,43.0297931,-81.2928956,276.5
2025-03-12 21:39:40.062,28.082652,43.0297931,-81.29289589999999,276.51
2025-03-12 21:39:40.302,28.322649,43.0297931,-81.2928963,276.53
2025-03-12 21:39:40.542,28.562662,43.0297932,-81.2928965,276.54
2025-03-12 21:39:40.782,28.802839,43.0297931,-81.2928967,276.56
2025-03-12 21:39:41.022,29.042927,43.029793,-81.2928969,276.58
2025-03-12 21:39:41.262,29.283035,43.029793,-81.29289709999999,276.59
2025-03-12 21:39:41.502,29.522658,43.0297929,-81.2928974,276.61
2025-03-12 21:39:41.750,29.771388,43.0297929,-81.2928976,276.62
2025-03-12 21:39:41.982,30.00257,43.0297929,-81.29289779999999,276.62
2025-03-12 21:39:42.222,30.242638,43.0297929,-81.2928981,276.62
2025-03-12 21:39:42.461,30.482514,43.0297929,-81.29289829999999,276.61
2025-03-12 21:39:42.701,30.722525,43.029792799999996,-81.2928984,276.61
2025-03-12 21:39:42.941,30.962491,43.0297929,-81.29289849999999,276.6
2025-03-12 21:39:43.181,31.202428,43.0297932,-81.2928986,276.6
2025-03-12 21:39:43.421,31.442362,43.0297937,-81.2928987,276.59
2025-03-12 21:39:43.661,31.682462,43.0297942,-81.2928991,276.59
2025-03-12 21:39:43.901,31.922337,43.029794599999995,-81.2928994,276.6
2025-03-12 21:39:44.141,32.162409,43.029794599999995,-81.2928998,276.62
2025-03-12 21:39:44.390,32.411099,43.0297945,-81.29290019999999,276.64
2025-03-12 21:39:44.621,32.642352,43.0297943,-81.2929005,276.65
2025-03-12 21:39:44.861,32.882503,43.0297939,-81.2929008,276.66
2025-03-12 21:39:45.101,33.122153,43.0297935,-81.2929011,276.65
2025-03-12 21:39:45.341,33.362364,43.0297932,-81.2929013,276.65
2025-03-12 21:39:45.581,33.602281,43.0297932,-81.2929015,276.65
2025-03-12 21:39:45.821,33.842424,43.0297931,-81.2929015,276.64
2025-03-12 21:39:46.061,34.082142,43.0297932,-81.2929015,276.63
2025-03-12 21:39:46.301,34.322439,43.0297931,-81.2929015,276.63
2025-03-12 21:39:46.542,34.562815,43.0297926,-81.29290189999999,276.65
2025-03-12 21:39:46.781,34.802202,43.029792099999995,-81.29290209999999,276.65
2025-03-12 21:39:47.031,35.051977,43.0297917,-81.2929022,276.65
2025-03-12 21:39:47.261,35.282201,43.029791499999995,-81.2929022,276.65
2025-03-12 21:39:47.501,35.522319,43.0297912,-81.2929024,276.66
2025-03-12 21:39:47.741,35.76215,43.029790999999996,-81.2929025,276.66
2025-03-12 21:39:47.981,36.00214,43.0297908,-81.29290259999999,276.66
2025-03-12 21:39:48.221,36.242016,43.0297907,-81.2929027,276.66
2025-03-12 21:39:48.461,36.482002,43.0297905,-81.2929027,276.65
2025-03-12 21:39:48.701,36.72205,43.029790299999995,-81.2929025,276.64
